conv_id,emotion,dialogue,target_summary,input_text
hit:5_conv:11,jealous,Speaker 10:My coworker is allowed to work remotely  but I am not... | Speaker 9:I work remotely  I wish that you could do something like that as well. | Speaker 10:I do too  it is unfortnuate because  unbiased  I am our best performer  so it is curious | Speaker 9:Sometimes in life  it is not about performance. Some people just get a shiner spoon.,I was at work_comma_ and my coworker was called into my bosses office. Then they were allowed to work remotely every monday. this made me jealous because I enjoy working from home,emotion: jealous dialogue: Speaker 10:My coworker is allowed to work remotely  but I am not... | Speaker 9:I work remotely  I wish that you could do something like that as well. | Speaker 10:I do too  it is unfortnuate because  unbiased  I am our best performer  so it is curious | Speaker 9:Sometimes in life  it is not about performance. Some people just get a shiner spoon.
hit:18_conv:37,furious,Speaker 25:I could not tolerate the waiters insensitivity that's poor service indeed! | Speaker 7:What happened? | Speaker 25:Imagine  I requested a French fries  but was served burger instead! | Speaker 7:It is very bad service. What did you do? Did you complain to the manager?,I ordered for French fries _comma_bit was served burger_comma_that pissed me off!,emotion: furious dialogue: Speaker 25:I could not tolerate the waiters insensitivity that's poor service indeed! | Speaker 7:What happened? | Speaker 25:Imagine  I requested a French fries  but was served burger instead! | Speaker 7:It is very bad service. What did you do? Did you complain to the manager?
hit:21_conv:43,faithful,Speaker 28:There were times where I was being seduced by a coworker of mine as a married man. | Speaker 7:Wow. Did he have kids? | Speaker 28:I was the one who was being seduced as the married man.  Good thing I remained committed to my wife and did not cheat. | Speaker 7:Ah ok. Good you stayed committed to your wife.,There were times where I was being seduced by a coworker of mine.  I remained committed to my wife and did not cheat.  It was a good decision.,emotion: faithful dialogue: Speaker 28:There were times where I was being seduced by a coworker of mine as a married man. | Speaker 7:Wow. Did he have kids? | Speaker 28:I was the one who was being seduced as the married man.  Good thing I remained committed to my wife and did not cheat. | Speaker 7:Ah ok. Good you stayed committed to your wife.
hit:24_conv:49,excited,Speaker 34:When I was a little child my parents told me that we were going to the amusement park and it made me so happy | Speaker 33:I bet! That sounds like fun. | Speaker 34:It was fun for sure  all the rides and the food  it brings back great memories. | Speaker 33:What sweet memories to hold on to. | Speaker 34:Have you ever been to the amusement park?,When I was little and I found out that we were going to the amusement park . ,emotion: excited dialogue: Speaker 34:When I was a little child my parents told me that we were going to the amusement park and it made me so happy | Speaker 33:I bet! That sounds like fun. | Speaker 34:It was fun for sure  all the rides and the food  it brings back great memories. | Speaker 33:What sweet memories to hold on to. | Speaker 34:Have you ever been to the amusement park?
hit:28_conv:57,furious,Speaker 41:There was a person who had to do twice the amount of work that they usually do. Sounded like they need to fire whoever didn't do their job  | Speaker 40:Yeah  or at least do something to correct that. | Speaker 41:Maybe there should be a training day where they do back over everything   | Speaker 40:or hire more people maybe also | Speaker 41:That too! If only | Speaker 40:They don't spend money unless they absolutely have to. They get bonuses for saving money I think,I had a co-worker open at my jb and instead of getting anything done she spent the enitre time on the phone. When I got to work I had to do her job and my own. ,emotion: furious dialogue: Speaker 41:There was a person who had to do twice the amount of work that they usually do. Sounded like they need to fire whoever didn't do their job  | Speaker 40:Yeah  or at least do something to correct that. | Speaker 41:Maybe there should be a training day where they do back over everything   | Speaker 40:or hire more people maybe also | Speaker 41:That too! If only | Speaker 40:They don't spend money unless they absolutely have to. They get bonuses for saving money I think
hit:43_conv:86,prepared,Speaker 11:I traveled a few months ago and didnt realize how much planning is involved! Wow it was a lot to get ready for...  | Speaker 27:Traveling is hard work. Where did you go? | Speaker 11:I went to Peru to visit my family. I try to go every year.  | Speaker 27:Wow. I have never neen that far! I have been to the Caribbean though.,I remember getting prepared for my trip to peru_comma_ it was crazy! ,emotion: prepared dialogue: Speaker 11:I traveled a few months ago and didnt realize how much planning is involved! Wow it was a lot to get ready for...  | Speaker 27:Traveling is hard work. Where did you go? | Speaker 11:I went to Peru to visit my family. I try to go every year.  | Speaker 27:Wow. I have never neen that far! I have been to the Caribbean though.
hit:64_conv:128,annoyed,Speaker 1:My fence is collapsing at areas where my neighbors keep climbing over to get their ball. It's going to be expensive to fix. | Speaker 11:Oh yeah I am sure it is.. have you talked to them about paying for it?  | Speaker 1:I'm afraid to unfortunately. They broke the window once  and I had to get police involved. | Speaker 11:That really sucks.. i guess all you can do is get a metal type of fence or maybe one with spikes! ( lol ) ,My fence is collapsing at areas where my neighbors keep climbing over to get their ball. It's going to be expensive to fix.,emotion: annoyed dialogue: Speaker 1:My fence is collapsing at areas where my neighbors keep climbing over to get their ball. It's going to be expensive to fix. | Speaker 11:Oh yeah I am sure it is.. have you talked to them about paying for it?  | Speaker 1:I'm afraid to unfortunately. They broke the window once  and I had to get police involved. | Speaker 11:That really sucks.. i guess all you can do is get a metal type of fence or maybe one with spikes! ( lol ) 
hit:65_conv:130,surprised,Speaker 1:My brother usually doesn't do anything for me unless asked. After 3 decades  he actually took me out for my birthday. | Speaker 27:MY brothers are the same way. At least yours ginally came around. | Speaker 1:haha siblings! How many brothers do you have? | Speaker 27:two younger ones. They only call when they want something. my older sister is the same. I'm the good one.,My brother usually doesn't do anything for me unless asked. After 3 decades_comma_ he actually took me out for my birthday.,emotion: surprised dialogue: Speaker 1:My brother usually doesn't do anything for me unless asked. After 3 decades  he actually took me out for my birthday. | Speaker 27:MY brothers are the same way. At least yours ginally came around. | Speaker 1:haha siblings! How many brothers do you have? | Speaker 27:two younger ones. They only call when they want something. my older sister is the same. I'm the good one.
hit:72_conv:144,sad,Speaker 1:My mom has arthritis in her neck  and the pain seems to be traveling down now. | Speaker 11:I am sorry to hear that.. is there any physical therapy that can help her?  | Speaker 1:The doctor just recommended exercise. I'm not sure if they were just busy to do anymore for her or if exercise is the best. | Speaker 11:Usually moving your body helps but it depends on her situation... i would get a 2nd opinion!,My mom has arthritis in her neck_comma_ and the pain seems to be traveling down now.,emotion: sad dialogue: Speaker 1:My mom has arthritis in her neck  and the pain seems to be traveling down now. | Speaker 11:I am sorry to hear that.. is there any physical therapy that can help her?  | Speaker 1:The doctor just recommended exercise. I'm not sure if they were just busy to do anymore for her or if exercise is the best. | Speaker 11:Usually moving your body helps but it depends on her situation... i would get a 2nd opinion!
hit:90_conv:180,sad,Speaker 46:So I lost my wallet and had to get a new ID issued to me. | Speaker 11:I hope someone turns it in soon to you.. did you lose out on money too?  | Speaker 46:I usually dont have much cash on me but the cards are hard to replace. | Speaker 11:Yeah a real pain honestly... im sorry that happened to you. :/ ,I lost my wallet and had to get all new cards,emotion: sad dialogue: Speaker 46:So I lost my wallet and had to get a new ID issued to me. | Speaker 11:I hope someone turns it in soon to you.. did you lose out on money too?  | Speaker 46:I usually dont have much cash on me but the cards are hard to replace. | Speaker 11:Yeah a real pain honestly... im sorry that happened to you. :/ 
