conv_id,emotion,dialogue,target_summary,input_text
hit:11_conv:23,excited,Speaker 16:So last week we were watching the world cup  and lo and behold  Croatia beat the host country  Russia | Speaker 15:I saw that game. They won on penalty kicks! | Speaker 16:Yes! Both countries were not about to let each other win | Speaker 15:It was very tense. The other game with England and Sweden was not nearly as nerve-wracking. | Speaker 16:You're right. I prefer nerve-wrecking matches. When both teams are great  the tension really builds.,Last week_comma_ I was watching the world cup_comma_ and watched croatia win from russia,emotion: excited dialogue: Speaker 16:So last week we were watching the world cup  and lo and behold  Croatia beat the host country  Russia | Speaker 15:I saw that game. They won on penalty kicks! | Speaker 16:Yes! Both countries were not about to let each other win | Speaker 15:It was very tense. The other game with England and Sweden was not nearly as nerve-wracking. | Speaker 16:You're right. I prefer nerve-wrecking matches. When both teams are great  the tension really builds.
hit:20_conv:40,terrified,Speaker 27:Hi I was recently on vacation and frightened half to death. | Speaker 9:Oh  my  what happened? | Speaker 27:I was eating some chips on the balcony. I dropped them and then was swarmed by seagulls. | Speaker 9:I live near the ocean  so I do understand how this can be. I hope you ran  very quickly. | Speaker 27:I went inside. I donr know how dangerous they are but I didnt want to fall 7 stories. | Speaker 9:I heard a story of seagulls drowning a man to death.,I was just on vacation in Biloxi. While hanging out on the balcony_comma_ I dropped some chips and then the balcony was swarmed by seagulls.,emotion: terrified dialogue: Speaker 27:Hi I was recently on vacation and frightened half to death. | Speaker 9:Oh  my  what happened? | Speaker 27:I was eating some chips on the balcony. I dropped them and then was swarmed by seagulls. | Speaker 9:I live near the ocean  so I do understand how this can be. I hope you ran  very quickly. | Speaker 27:I went inside. I donr know how dangerous they are but I didnt want to fall 7 stories. | Speaker 9:I heard a story of seagulls drowning a man to death.
hit:22_conv:45,sad,Speaker 30:Have you ever had a pet that you had to put down? I was so heartbroken when my dog of 16 years had to be put down. this was years ago but it still makes me sad to this day. | Speaker 29:That is heartbreaking  it's always helped me to remember that no matter what happens  you have your memories with them. | Speaker 30:That is true  we got her when I was 3 years old so I kind of grew up with her  I'll never forget those memories. | Speaker 29:Absolutely  it's a chapter of your life and as long as you have those memories they live on through those memories.,I felt sad when my dog passed away. It was a pet that I had since I was 3 years old_comma_ and was one of the saddest days of my life.,emotion: sad dialogue: Speaker 30:Have you ever had a pet that you had to put down? I was so heartbroken when my dog of 16 years had to be put down. this was years ago but it still makes me sad to this day. | Speaker 29:That is heartbreaking  it's always helped me to remember that no matter what happens  you have your memories with them. | Speaker 30:That is true  we got her when I was 3 years old so I kind of grew up with her  I'll never forget those memories. | Speaker 29:Absolutely  it's a chapter of your life and as long as you have those memories they live on through those memories.
hit:23_conv:46,disappointed,Speaker 31:I drove to Dairy Queen but it was closed.  | Speaker 32:I'm sorry to hear that.  That must have been frustrating. | Speaker 31:I just really wanted some ice cream! Now I know their hours  though. | Speaker 32:Hopefully you were able to get the ice cream that you wanted in the following days.,Yesterday_comma_ I was really craving Dairy Queen. So_comma_ I got in my car and went to grab some Blizzards. When I got there_comma_ they were closed. ,emotion: disappointed dialogue: Speaker 31:I drove to Dairy Queen but it was closed.  | Speaker 32:I'm sorry to hear that.  That must have been frustrating. | Speaker 31:I just really wanted some ice cream! Now I know their hours  though. | Speaker 32:Hopefully you were able to get the ice cream that you wanted in the following days.
hit:27_conv:55,guilty,Speaker 39:I went shopping yesterday and bought a $2000 bag. My husband is going to kill me.. | Speaker 38:Haha my girlfriend does the same thing.  Check comes in and she is so happy to have money for the next two weeks  then goes and spends it all on clothing and accessories.   | Speaker 39:All women have the same problem. It is a guilty pleasure.. | Speaker 38:We all deserve to treat ourselves every now and then.,I just went for a shopping spree and bought a $2000 bag,emotion: guilty dialogue: Speaker 39:I went shopping yesterday and bought a $2000 bag. My husband is going to kill me.. | Speaker 38:Haha my girlfriend does the same thing.  Check comes in and she is so happy to have money for the next two weeks  then goes and spends it all on clothing and accessories.   | Speaker 39:All women have the same problem. It is a guilty pleasure.. | Speaker 38:We all deserve to treat ourselves every now and then.
hit:36_conv:72,anxious,Speaker 40:Did you go outside and see if anyone was hurt? | Speaker 46:What do you mean? I don't know what you are talking about. | Speaker 40:I heard a noise outside that sounded like a car had wrecked yesterday. | Speaker 46:Well then I guess you should have went and checked to see if anyone was hurt. I hope you called a ambulance.,I heard a car outside that sounded like it wrecked yesterday. It sounded  awful.,emotion: anxious dialogue: Speaker 40:Did you go outside and see if anyone was hurt? | Speaker 46:What do you mean? I don't know what you are talking about. | Speaker 40:I heard a noise outside that sounded like a car had wrecked yesterday. | Speaker 46:Well then I guess you should have went and checked to see if anyone was hurt. I hope you called a ambulance.
hit:38_conv:76,sentimental,Speaker 11:The other day when I was cleaning I came across an old keychain my dad gave me when I was younger  it was nice to see.  | Speaker 12:Thats good that you found the keychain | Speaker 11:Yeah it meant a lot to me - almost like a sign!  | Speaker 12:that's very good! Always nice to find those old lost items.  ,I came across an old keychain that my dad gave to me when I was younger. It was cool. ,emotion: sentimental dialogue: Speaker 11:The other day when I was cleaning I came across an old keychain my dad gave me when I was younger  it was nice to see.  | Speaker 12:Thats good that you found the keychain | Speaker 11:Yeah it meant a lot to me - almost like a sign!  | Speaker 12:that's very good! Always nice to find those old lost items.  
hit:41_conv:82,content,Speaker 7:I am satisfied to have a good vacation | Speaker 11:Oh yeah what are you doing for your vacation?  | Speaker 7:Nothing special. I just travel to my familly. It has been almost a year that I didn't see them. | Speaker 11:Sounds rather special to me! Out of the country or to another state? ,I am happy to have a good vacation,emotion: content dialogue: Speaker 7:I am satisfied to have a good vacation | Speaker 11:Oh yeah what are you doing for your vacation?  | Speaker 7:Nothing special. I just travel to my familly. It has been almost a year that I didn't see them. | Speaker 11:Sounds rather special to me! Out of the country or to another state? 
hit:42_conv:84,impressed,Speaker 11:The other day after dinner my daughter took her trash to the trash on her own. I love watching her develop!  | Speaker 7:It is so sweet. Is she able to talk? | Speaker 11:Shes just starting to try to say full sentences  but right now its just a lot of babbling and drooling. lol | Speaker 7:That should be funny to see and hear,The other day my daughter knew to throw away her food when she was done. ,emotion: impressed dialogue: Speaker 11:The other day after dinner my daughter took her trash to the trash on her own. I love watching her develop!  | Speaker 7:It is so sweet. Is she able to talk? | Speaker 11:Shes just starting to try to say full sentences  but right now its just a lot of babbling and drooling. lol | Speaker 7:That should be funny to see and hear
hit:42_conv:85,furious,Speaker 7:i am angry against a friend that suppose to help me. | Speaker 11:That sucks... what was he or she supposed to help you with?  | Speaker 7:I wanted to wall mount my TV but my friend didn't come and turned off his cell phone. I was always helping him for anything. | Speaker 11:Well I hope you two can talk it out  express your feelings and work it out together! Friendship is hard to come by these days... ,i am angry against a friend that suppose to help me.,emotion: furious dialogue: Speaker 7:i am angry against a friend that suppose to help me. | Speaker 11:That sucks... what was he or she supposed to help you with?  | Speaker 7:I wanted to wall mount my TV but my friend didn't come and turned off his cell phone. I was always helping him for anything. | Speaker 11:Well I hope you two can talk it out  express your feelings and work it out together! Friendship is hard to come by these days... 
