conv_id,target_summary,generated_summary
hit:5_conv:11,I was at work_comma_ and my coworker was called into my bosses office. Then they were allowed to work remotely every monday. this made me jealous because I enjoy working from home,My coworker is allowed to work remotely_comma_ but I am not...
hit:18_conv:37,I ordered for French fries _comma_bit was served burger_comma_that pissed me off!,I could not tolerate the waiters insensitivity.
hit:21_conv:43,There were times where I was being seduced by a coworker of mine.  I remained committed to my wife and did not cheat.  It was a good decision.,There were times when I was being seduced by a coworker of mine as a married
hit:24_conv:49,When I was little and I found out that we were going to the amusement park . ,When I was a little child my parents told me that we were going to the amusement park
hit:28_conv:57,I had a co-worker open at my jb and instead of getting anything done she spent the enitre time on the phone. When I got to work I had to do her job and my own. ,There was a person who had to do twice the amount of work that they usually do.
hit:43_conv:86,I remember getting prepared for my trip to peru_comma_ it was crazy! ,when i went to Peru 
hit:64_conv:128,My fence is collapsing at areas where my neighbors keep climbing over to get their ball. It's going to be expensive to fix.,My fence is collapsing at areas where my neighbors keep climbing over to get their ball. It
hit:65_conv:130,My brother usually doesn't do anything for me unless asked. After 3 decades_comma_ he actually took me out for my birthday.,My brother usually doesn't do anything for me unless asked. After 3 decades_comma
hit:72_conv:144,My mom has arthritis in her neck_comma_ and the pain seems to be traveling down now.,My mom has arthritis in her neck_comma_ and the pain seems to be traveling
hit:90_conv:180,I lost my wallet and had to get all new cards,I lost my wallet and had to get a new ID issued.
hit:91_conv:182,When the Falcons won the game I was excited.,When the Falcons won the game I was excited.
hit:99_conv:198,I am ashamed when I cheated on the test.,I cheated on a test. I am very ashamed.
hit:100_conv:200,I'be been thinking a lot about my childhood lately_comma_ sort or reminiscing.,I miss my family members as they all pretty much gone now.
hit:109_conv:219,I ordered McDonalds yesterday and since my lazy daughter wouldn't get out of bed I ate her food. I kind of fell bad about it.,I ate my daughter's dinner yesterday because she refused to get up. I feel so bad
hit:110_conv:220,I am ashamed I lied to the police.,I lied to the police. I am ashamed.
hit:133_conv:266,Had HELLP syndrom with first child.  Spent all 9 months being pregnant with 2nd child worrying about the same thing happening.,Had HELLP syndrom with first child. Spent all 9 months being pregnant with 2
hit:141_conv:283,I was on jury duty for three months recently and it was very interesting and kind of fun. I was surprised.,I had jury duty for three months this spring. 
hit:142_conv:284,I am shocked it hasn't rained today.,I can't believe it hasn't rained today.
hit:156_conv:313,I slipped while carrying a tray of coffee. I got it all over myself.,I slipped while carrying a tray of coffee at work the other day.
hit:161_conv:322,A friend of mine recently got married. I hadn't even know he was engaged!,My friend recently invited me to his wedding. I hadn't even known he was engaged_
hit:180_conv:360,Recently I met up with a friend that I knew years and years ago and I learned that he actually bought his house from his mom. We went there and had a few beers and it looked exactly the same as before_comma_ even smelled the same.,I reconnected with one of my childhood friends and we went to the house that we used
hit:181_conv:363,I was in college for 8 years. I didn't get done until the end of 2017. I graduated high school in 2009 felt so proud when i was done with school.,I finally graduated college after 8 years. It felt tough every year that passed but i got
hit:188_conv:377,I am surprised England Lost to Croatia on the World Cup,I am surprised England Lost to Croatia on the World Cup. I tought they were gonna
hit:189_conv:378,my parents let me live with them. They do not charge rent so I am very appreciative of them,My parents let me live in their house for free_comma_ I am realy
hit:189_conv:379,When i got my first job in retail i was scared on the interview. But as i got there i took a deep breath and went in. I felt really confident after that and got the job.,I remember a time i got my first retail job. Was scared about the interview but after
hit:215_conv:431,I am so exited about the coming world cup final.,I am so exited about the coming world cup final.
hit:224_conv:448,It was a time of my life where i liked spooky things. I went into a abandoned house and i decided to spend the night. Well i started hearing noises and voices and i just was so scared i ran out the house.,I went into the old abandoned house went and spent the night. I started hearing footsteps and
hit:232_conv:464,By mistake_comma_ I saw an image of a car accident. I was disgusted.,By mistake_comma_ I saw an image of a car accident. I was disgusted
hit:242_conv:484,I was looking forward to spending time with my friend Megan today_comma_ but I had to put it off again because I fell ill this morning.,I made plans to spend time with my friend Megan today_comma_ and unfortunately_
hit:245_conv:490,I let my friend borrow my car last year and I got a call later that night that he crashed it and totaled it_comma_ man I was crushed by that experience.,So last year I let my friend borrow my car_comma_ and that night he
hit:246_conv:493,When my daughter was born I was so happy and excited.,I was so happy when my daughter was born. 
hit:260_conv:520,I felt this way when my father bought me a Super Nintendo for  my 9th birthday. We were very poor so it was unexpected!,I was so thrilled with my gift for my 9th birthday. It was a Super Nintendo
hit:264_conv:529,I am stressed by my blood test results that I will receive tomorrow.,I am stressed by my blood test results that I will have tomorrow.
hit:267_conv:534,I was caring when I helped someone move out of their house,I had to help my friend move out of their house
hit:281_conv:562,I was on maternity leave but still working from home some.  My boss would call and scream at me about things that happened while I wasn't even there.,While I was on maternity leave_comma_ I worked from home a little bit.
hit:302_conv:605,I am so mad at my son.  I asked him three times to do his chores and he still hasn't done them.,I am so mad at my son.  I asked him three times today to do his
hit:304_conv:609,I loved my dogs so much. But one dog i loved was Watson and he lived til he was 18. He was the one thing i cared about in this world at a time.,I have never cared as much for a dog as i do for my first dog. He
hit:315_conv:630,One of my favorite restaurants that I frequent weekly was just shut down by the health department.  I can't imagine how gross the kitchen must be!,I was so grossed out! One of my favorite restaurants that I go to every week
hit:315_conv:631,I am happy my brother went to the MLB.,I am happy my brother plays in the MLB.
hit:320_conv:640,When i was younger i wanted a new computer so bad. I didn't have good parts and the computer was so slow. When i got the new computer i was ecstatic. ,When i was a kid i had a dinky computer that could barely run my games.
hit:327_conv:654,My husband had meningitis and then got bells palsey.  I was very very worried.,A few years back_comma_ my husband was diagnosed with viral meningitis and
hit:328_conv:657,I hate it when people make loud breathing noises while eating a sandwich.,When someone tries to inhale a sandwich like it's the last sandwich they'll ever eat
hit:332_conv:664,I am upset that England lost in the World Cup.,I am upset England lost in the World Cup.
hit:360_conv:720,Just came back from a job interview. Seem to hit it off with the interviewer.,Just came back from a job interview. Seem to hit it off with the interviewer.
hit:385_conv:771,I really love the snow but it never snows here.  A few years ago_comma_ I got my wish_comma_ but it was also horrible.  Lots of people stranded all over_comma_ including my husband and daughter.,I really really love the snow_comma_ but we never get it.  My
hit:392_conv:785,Every year I'm so excited about Christmas.  And every year I'm not able to get all the things done that I want to.,Every year I'm so excited about Christmas and have all these plans.  But it always
