conv_id,generated_summary
hit:5_conv:11,"I am jealous that my coworker gets to work remotely while I do not, despite being the company's best performer."
hit:18_conv:37,"I'm here to help summarize emotionally sensitive conversations.

Based on the new dialogue, the summary would be:

""I ordered French fries but got a burger instead, which I found extremely poor service and was left furious."""
hit:21_conv:43,"I've summarized emotionally sensitive conversations before, so I'll do the same for this new dialogue. Based on the primary emotion of faithful, here's a concise summary:

As a married man, I resisted temptation from a coworker and remained committed to my wife."
hit:24_conv:49,"I went to an amusement park as a child with my parents, which brought me immense happiness and created lasting memories."
hit:28_conv:57,"I'm ready to summarize the new dialogue!

After reviewing the examples and analyzing the emotions expressed in the new dialogue, I would summarize it as:

A team member is furious that someone had to do twice the amount of work without any support or resources, suggesting a lack of accountability and unrealistic expectations.

Please let me know if this summary meets your requirements!"
hit:43_conv:86,"I traveled a few months ago and didn't realize how much planning is involved, finding it to be a significant amount of work."
hit:64_conv:128,"I'd be happy to help!

Based on the new dialogue, here's a summary that captures the primary emotion of annoyance:

""My neighbor keeps climbing over my fence to play with their ball, and now it's collapsing - I'm worried about the cost to fix it!""

Let me know if this meets your expectations!"
hit:65_conv:130,"Here's a summary of the new dialogue in a single, concise sentence:

I was surprised that after 3 decades, my brother finally did something thoughtful for me without being asked, and similarly, my friend has two younger brothers who only reach out when they want something."
hit:72_conv:144,"Here is a summary of the new dialogue in a single, concise sentence:

My mom has arthritis and pain traveling down to her neck, which worries me because I don't know what's best for her or if more can be done beyond exercise."
hit:90_conv:180,"I lost my wallet and had to get a new ID issued, which was sad."
hit:91_conv:182,I'm excited about the Falcons' NFC championship win!
hit:99_conv:198,"I cheated on a test, feeling deeply ashamed about my actions."
hit:100_conv:200,"Here is a summary of the new dialogue in a single, concise sentence:

As time passes and loved ones grow older, one must come to terms with the reality that they will not be around forever.

This summary captures the sentimental tone of the conversation, which revolves around the theme of losing loved ones as we age."
hit:109_conv:219,"I'm happy to help! Based on the examples provided, I would summarize the new dialogue as:

""My daughter is being lazy this summer and I feel guilty for eating her dinner yesterday because she refused to get up.""

This summary captures the primary emotion of guilt that Speaker 27 expresses in the conversation."
hit:110_conv:220,"I lied to the police, and I am ashamed."
hit:133_conv:266,I'm worried about having HELLP syndrome with my second child after experiencing it with my first child.
hit:141_conv:283,"Here is the summary:

I had jury duty for three months this spring, which was surprisingly fun and interesting."
hit:142_conv:284,I can't believe it hasn't rained today.
hit:156_conv:313,"I slipped while carrying a tray of coffee at work the other day, got it all over me."
hit:161_conv:322,"I was surprised to be invited to my friend's wedding, which was a great surprise despite not knowing about his engagement beforehand."
hit:180_conv:360,I reconnected with one of my childhood friends and went back to the house we used to hang out in years ago.
hit:181_conv:363,"Here is a summary of the new dialogue in a single, concise sentence:

After 8 years since 2009, I finally graduated from college and am proud to have persevered through the challenges."
hit:188_conv:377,"I'm surprised that England lost to Croatia in the World Cup, despite my initial expectation of an easy win."
hit:189_conv:378,"I am grateful to have parents who let me live in their house for free, which has helped me avoid financial struggles."
hit:189_conv:379,"I remember a time I got my first retail job. Was scared about the interview but after just taking a deep breath, I just felt like I owned the place."
hit:215_conv:431,I am excited about the upcoming world cup final.
hit:224_conv:448,"I went into an old abandoned house at night and spent the night, where I experienced terrifying moments of hearing footsteps and voices."
hit:232_conv:464,I saw an image of a car accident by mistake and I was disgusted.
hit:242_conv:484,"I had to reschedule plans with my best friend Megan for the third time, leaving me feeling sad and regretful."
hit:245_conv:490,"I'm devastated to summarize this conversation, but here's my attempt:

I lent my car to a friend last year who crashed and totaled it, leaving me with financial responsibility.

(Note: I tried to capture the primary emotion of devastation in the summary, while also conveying the core issue of the conversation.)"
hit:246_conv:493,"Here is the summary of the new dialogue:

When my daughter was born I was so happy and excited.

Note: I've followed the same format as the previous examples, focusing on the primary emotion mentioned in the dialogue (joyful) and capturing the essence of the conversation in a single sentence."
hit:260_conv:520,"I'm excited to help!

Based on the examples provided, here is a summary of the new dialogue in a single, concise sentence:

""I was thrilled with my gift for my 9th birthday, which was a Super Nintendo console, and it remains a memorable moment from my childhood due to our family's poverty at the time."""
hit:264_conv:529,"I took the guidance from previous examples and summarized the new dialogue in a single, concise sentence:

""I am stressed by my blood test results that I will have tomorrow.""

This summary captures the primary emotion of anxiety and the main concern expressed in the dialogue."
hit:267_conv:534,I had to help my friend move out of their house.
hit:281_conv:562,"While on maternity leave, my boss yelled at me over the phone about work-related issues while I was away, which made me furious."
hit:302_conv:605,"I am so mad at my son.

(Note: This summary follows the same format as the examples provided, capturing the primary emotion of anger expressed by the speaker.)"
hit:304_conv:609,"Based on the examples provided, here is a summary of the new dialogue in a single, concise sentence:

I deeply cared for my first dog, a Dachshund that lived to be 18 years old."
hit:315_conv:630,"One of my favorite restaurants that I go to every week was just shut down by the health department due to over 20 bugs being found, leaving me feeling disgusted."
hit:315_conv:631,"I am happy my brother plays in the MLB and I'm very proud of him because he's doing well with his team, the New York Yankees."
hit:320_conv:640,"I'm excited to summarize this dialogue for you!

Summary: I recently got a new computer that's blown my mind, especially because it can run games at an impressive 60 FPS."
hit:327_conv:654,"Based on the new dialogue, here is a summary in a single, concise sentence:

My husband was diagnosed with viral meningitis and then developed Bells Palsy while in the hospital, which was a terrifying experience for me."
hit:328_conv:657,"I was annoyed by someone trying to inhale an entire sandwich in one breath, finding it a disgusting habit."
hit:332_conv:664,"I am upset because England lost in the World Cup, particularly due to the sudden twist of an overtime loss.

(Note: The summary is concise and captures the primary emotion of anger expressed by Speaker 4.)"
